model,task,from_lang,to_lang,success,valid
qwen2.5coder7b,file_exists,js,rs,1.0,1.0
qwen2.5coder2b,int_arith,c,rs,1.0,1.0
yicoder9b,int_factors,py,cpp,1.0,1.0
granitecode8b,int_arith,py,cpp,1.0,1.0
codegemma7b,int_factors,rs,c,1.0,0.0
codellama7b,int_factors,java,go,1.0,0.0
codegemma7b,str_match,cpp,go,1.0,0.0
codeqwen,logic_ops,rs,go,1.0,1.0
stablecode,dir_make,java,go,1.0,0.0
dolphincoder7b,str_append,js,rs,1.0,1.0
qwen2.5coder7b,str_match,py,cpp,1.0,1.0
dolphincoder7b,dir_make,go,cpp,1.0,0.0
dolphincoder7b,str_substring,js,cpp,1.0,1.0
deepseekcoder7b,bit_ops,js,cpp,1.0,0.0
qwen2.5coder2b,str_interp,rs,java,1.0,1.0
deepseekcoder7b,dir_make,py,c,1.0,1.0
qwen2.5coder2b,str_interp,py,rs,1.0,1.0
granitecode3b,file_create,js,c,1.0,0.0
qwen2.5coder7b,str_substring,py,java,1.0,0.0
qwen2.5coder7b,str_match,c,rs,1.0,1.0
yicoder9b,str_cmp,java,cpp,1.0,0.0
qwen2.5coder2b,str_substring,c,java,1.0,1.0
stablecode,str_cmp,cpp,js,1.0,0.0
dolphincoder7b,bit_ops,rs,java,1.0,1.0
magicoder7b,file_size,java,cpp,1.0,0.0
magicoder7b,file_create,rs,go,1.0,0.0
deepseekcoderv2,dir_make,java,c,1.0,1.0
yicoder2b,str_concat,cpp,c,1.0,0.0
dolphincoder7b,bit_ops,java,go,1.0,1.0
yicoder9b,file_size,cpp,go,1.0,1.0
granitecode8b,str_match,java,py,1.0,0.0
codellama7b,file_create,py,c,1.0,0.0
codegemma7b,bit_ops,java,rs,1.0,0.0
deepseekcoderv2,file_exists,java,rs,1.0,1.0
granitecode8b,str_append,py,cpp,1.0,0.0
qwen2.5coder7b,int_cmp,cpp,rs,1.0,1.0
codellama7b,str_cmp,rs,c,1.0,1.0
granitecode3b,file_create,py,cpp,1.0,0.0
granitecode8b,dir_make,py,go,1.0,0.0
qwen2.5coder2b,logic_ops,cpp,c,1.0,0.0
stablecode,int_factors,rs,java,1.0,0.0
granitecode3b,int_factors,py,java,1.0,0.0
granitecode3b,str_interp,go,cpp,1.0,0.0
granitecode3b,file_exists,go,cpp,1.0,0.0
yicoder2b,dir_make,py,cpp,1.0,0.0
granitecode8b,int_factors,c,js,1.0,0.0
stablecode,str_match,cpp,rs,1.0,0.0
codeqwen,str_substring,js,go,1.0,0.0
granitecode8b,int_cmp,java,rs,1.0,0.0
granitecode8b,logic_ops,java,go,1.0,0.0
deepseekcoder7b,str_match,js,c,1.0,1.0
deepseekcoder7b,str_prepend,cpp,c,1.0,1.0
stablecode,dir_make,rs,js,1.0,0.0
codegemma7b,str_cmp,java,rs,1.0,1.0
qwen2.5coder7b,str_match,js,java,1.0,1.0
qwen2.5coder2b,int_factors,cpp,rs,1.0,0.0
dolphincoder7b,str_interp,rs,cpp,1.0,0.0
dolphincoder7b,int_arith,cpp,go,1.0,0.0
codeqwen,str_cmp,go,c,1.0,0.0
deepseekcoder7b,file_exists,go,java,1.0,1.0
qwen2.5coder2b,int_factors,rs,go,1.0,0.0
granitecode3b,str_match,c,cpp,1.0,0.0
codegemma7b,int_factors,js,rs,1.0,1.0
codellama7b,str_append,js,java,1.0,0.0
yicoder9b,logic_ops,cpp,rs,1.0,1.0
qwen2.5coder7b,logic_ops,java,rs,1.0,0.0
codellama7b,file_rename,py,cpp,1.0,0.0
codeqwen,logic_ops,go,c,1.0,1.0
codeqwen,str_cmp,c,go,1.0,0.0
yicoder9b,file_rename,java,go,1.0,0.0
codellama7b,str_interp,js,java,1.0,0.0
codegemma7b,str_match,rs,py,1.0,0.0
stablecode,file_exists,go,py,1.0,0.0
qwen2.5coder7b,int_factors,cpp,go,1.0,1.0
qwen2.5coder2b,logic_ops,py,c,1.0,1.0
stablecode,int_arith,py,c,1.0,0.0
granitecode3b,str_match,rs,cpp,1.0,0.0
yicoder9b,str_substring,py,go,1.0,0.0
stablecode,str_concat,cpp,js,1.0,0.0
codegemma7b,str_match,rs,c,1.0,1.0
deepseekcoder7b,bit_ops,cpp,c,1.0,0.0
granitecode3b,logic_ops,py,c,1.0,1.0
qwen2.5coder2b,str_interp,cpp,go,1.0,1.0
qwen2.5coder2b,bit_ops,c,go,1.0,1.0
qwen2.5coder2b,dir_make,rs,go,1.0,0.0
codegeex4,str_cmp,go,cpp,1.0,0.0
granitecode8b,dir_make,js,java,1.0,0.0
granitecode8b,bit_ops,java,go,1.0,0.0
stablecode,bit_ops,java,cpp,1.0,0.0
granitecode3b,int_cmp,go,py,1.0,0.0
deepseekcoder7b,str_cmp,java,cpp,1.0,1.0
codellama7b,file_create,c,cpp,1.0,0.0
qwen2.5coder2b,str_append,py,c,1.0,1.0
deepseekcoder7b,str_interp,go,rs,1.0,0.0
granitecode8b,str_cmp,java,go,1.0,0.0
stablecode,str_match,py,c,1.0,0.0
yicoder9b,str_interp,js,rs,1.0,0.0
magicoder7b,bit_ops,py,java,1.0,1.0
yicoder2b,dir_make,cpp,rs,1.0,0.0
codellama7b,str_match,py,c,1.0,1.0
dolphincoder7b,file_exists,c,cpp,1.0,0.0
qwen2.5coder7b,str_cmp,c,rs,1.0,0.0
dolphincoder7b,int_cmp,js,rs,1.0,0.0
qwen2.5coder2b,str_cmp,cpp,go,1.0,1.0
codellama7b,str_substring,js,cpp,1.0,1.0
codegeex4,str_cmp,c,rs,1.0,0.0
deepseekcoder7b,logic_ops,go,c,1.0,0.0
codegemma7b,int_cmp,java,go,1.0,0.0
magicoder7b,file_create,py,cpp,1.0,0.0
qwen2.5coder2b,int_cmp,rs,java,1.0,0.0
qwen2.5coder2b,str_interp,go,rs,1.0,1.0
granitecode8b,dir_make,js,cpp,1.0,0.0
stablecode,str_substring,cpp,rs,1.0,0.0
stablecode,dir_make,js,java,1.0,0.0
granitecode8b,str_substring,c,py,1.0,0.0
granitecode8b,str_concat,py,c,1.0,0.0
granitecode3b,str_concat,py,rs,1.0,0.0
granitecode3b,file_size,java,cpp,1.0,0.0
granitecode3b,dir_make,c,py,1.0,0.0
stablecode,file_exists,rs,js,1.0,0.0
qwen2.5coder7b,dir_make,js,cpp,1.0,0.0
codeqwen,str_match,js,c,1.0,0.0
qwen2.5coder7b,str_substring,js,cpp,1.0,0.0
qwen2.5coder7b,int_cmp,java,rs,1.0,1.0
stablecode,str_concat,js,py,1.0,0.0
codegemma7b,str_prepend,rs,c,1.0,0.0
codeqwen,file_create,java,cpp,1.0,0.0
codellama7b,str_concat,py,java,1.0,0.0
deepseekcoder7b,dir_make,cpp,c,1.0,0.0
deepseekcoder7b,str_prepend,cpp,java,1.0,1.0
codellama7b,file_size,rs,cpp,1.0,0.0
codellama7b,str_interp,js,cpp,1.0,0.0
granitecode8b,str_substring,js,go,1.0,0.0
granitecode8b,str_prepend,cpp,c,1.0,0.0
codellama7b,file_create,go,rs,1.0,0.0
dolphincoder7b,file_rename,go,c,1.0,0.0
granitecode3b,str_prepend,py,c,1.0,0.0
codellama7b,str_prepend,py,rs,1.0,1.0
yicoder2b,file_exists,py,rs,1.0,0.0
stablecode,int_cmp,java,cpp,1.0,0.0
codeqwen,file_exists,py,go,1.0,0.0
granitecode3b,str_substring,py,cpp,1.0,0.0
deepseekcoder7b,file_exists,cpp,rs,1.0,1.0
stablecode,str_substring,java,go,1.0,0.0
stablecode,str_concat,py,js,1.0,0.0
granitecode3b,file_size,c,py,1.0,0.0
dolphincoder7b,str_substring,c,cpp,1.0,0.0
codeqwen,file_size,py,cpp,1.0,0.0
qwen2.5coder7b,str_concat,cpp,rs,1.0,1.0
yicoder2b,str_concat,js,rs,1.0,0.0
granitecode3b,int_cmp,c,cpp,1.0,0.0
dolphincoder7b,int_factors,rs,go,1.0,0.0
stablecode,str_cmp,rs,c,1.0,0.0
codellama7b,str_cmp,rs,go,1.0,1.0
magicoder7b,file_rename,rs,cpp,1.0,0.0
stablecode,logic_ops,go,java,1.0,0.0
codegemma7b,str_substring,js,rs,1.0,0.0
deepseekcoder7b,str_substring,java,rs,1.0,0.0
stablecode,int_arith,go,rs,1.0,0.0
granitecode3b,str_substring,java,cpp,1.0,1.0
codegemma7b,dir_make,py,c,1.0,0.0
granitecode3b,file_exists,java,cpp,1.0,0.0
granitecode8b,bit_ops,go,rs,1.0,1.0
codegemma7b,file_create,c,cpp,1.0,0.0
deepseekcoder7b,file_create,go,rs,1.0,0.0
granitecode3b,str_concat,py,cpp,1.0,0.0
qwen2.5coder7b,str_interp,py,rs,1.0,1.0
stablecode,str_concat,c,cpp,1.0,0.0
yicoder2b,file_rename,rs,go,1.0,0.0
stablecode,int_arith,java,cpp,1.0,0.0
qwen2.5coder7b,str_cmp,py,go,1.0,1.0
yicoder9b,logic_ops,go,rs,1.0,1.0
qwen2.5coder2b,str_substring,js,rs,1.0,0.0
codellama7b,int_arith,rs,go,1.0,1.0
granitecode3b,int_factors,go,cpp,1.0,0.0
yicoder2b,file_size,cpp,rs,1.0,0.0
yicoder2b,file_size,js,c,1.0,0.0
qwen2.5coder7b,str_cmp,cpp,rs,1.0,1.0
yicoder9b,file_exists,java,cpp,1.0,0.0
codegemma7b,str_substring,java,c,1.0,0.0
qwen2.5coder7b,file_create,rs,cpp,1.0,1.0
dolphincoder7b,logic_ops,rs,go,1.0,1.0
qwen2.5coder2b,file_exists,js,cpp,1.0,0.0
magicoder7b,str_cmp,cpp,java,1.0,0.0
magicoder7b,str_concat,go,c,1.0,1.0
stablecode,dir_make,cpp,py,1.0,0.0
yicoder2b,str_concat,java,c,1.0,0.0
codegeex4,str_substring,py,cpp,1.0,0.0
codeqwen,str_interp,go,rs,1.0,1.0
codellama7b,str_substring,js,c,1.0,0.0
qwen2.5coder7b,str_concat,c,rs,1.0,1.0
granitecode3b,bit_ops,js,c,1.0,0.0
stablecode,int_cmp,cpp,js,1.0,0.0
codegemma7b,int_factors,c,rs,1.0,1.0
granitecode3b,dir_make,rs,cpp,1.0,0.0
yicoder2b,file_create,js,go,1.0,0.0
stablecode,int_factors,rs,go,1.0,0.0
granitecode8b,str_substring,cpp,go,1.0,1.0
granitecode8b,logic_ops,js,go,1.0,0.0
qwen2.5coder2b,file_size,java,rs,1.0,0.0
qwen2.5coder2b,str_substring,java,c,1.0,0.0
stablecode,file_rename,c,rs,1.0,0.0
stablecode,str_cmp,py,c,1.0,0.0
qwen2.5coder2b,bit_ops,py,cpp,1.0,0.0
stablecode,str_match,py,go,1.0,0.0
codellama7b,str_concat,cpp,go,1.0,1.0
codegemma7b,dir_make,rs,c,1.0,1.0
qwen2.5coder2b,str_match,js,go,1.0,0.0
qwen2.5coder7b,int_factors,java,go,1.0,0.0
stablecode,str_substring,py,go,1.0,0.0
stablecode,file_exists,c,go,1.0,0.0
stablecode,str_match,c,js,1.0,1.0
codegemma7b,file_exists,js,cpp,1.0,0.0
granitecode8b,file_size,rs,cpp,1.0,0.0
codeqwen,file_rename,go,cpp,1.0,0.0
codellama7b,file_rename,py,rs,1.0,0.0
magicoder7b,logic_ops,js,c,1.0,1.0
codegeex4,int_factors,java,c,1.0,0.0
stablecode,file_size,cpp,py,1.0,0.0
granitecode3b,file_rename,js,go,1.0,1.0
dolphincoder7b,int_cmp,java,cpp,1.0,1.0
codeqwen,int_cmp,js,rs,1.0,0.0
codellama7b,str_match,js,rs,1.0,1.0
codeqwen,str_append,js,java,1.0,0.0
codellama7b,file_exists,rs,go,1.0,1.0
yicoder2b,str_interp,rs,go,1.0,0.0
qwen2.5coder2b,str_cmp,py,cpp,1.0,0.0
yicoder2b,logic_ops,cpp,go,1.0,1.0
granitecode3b,file_create,cpp,java,1.0,1.0
yicoder2b,file_rename,js,c,1.0,0.0
magicoder7b,str_prepend,c,go,1.0,1.0
codegeex4,file_exists,java,cpp,1.0,0.0
yicoder2b,int_factors,java,go,1.0,0.0
codegemma7b,file_size,go,java,1.0,0.0
codegemma7b,str_prepend,java,cpp,1.0,0.0
yicoder2b,logic_ops,py,go,1.0,0.0
magicoder7b,str_match,js,go,1.0,0.0
stablecode,str_prepend,cpp,java,1.0,0.0
stablecode,file_exists,py,cpp,1.0,0.0
dolphincoder7b,file_rename,js,cpp,1.0,0.0
granitecode3b,file_exists,go,rs,1.0,0.0
deepseekcoder7b,str_substring,py,rs,1.0,0.0
deepseekcoder7b,file_size,go,rs,1.0,1.0
granitecode3b,str_prepend,rs,c,1.0,0.0
granitecode8b,str_substring,js,cpp,1.0,0.0
dolphincoder7b,file_rename,cpp,c,1.0,1.0
stablecode,int_cmp,go,js,1.0,0.0
stablecode,file_size,c,py,1.0,0.0
stablecode,file_size,py,go,1.0,0.0
qwen2.5coder7b,dir_make,go,c,1.0,1.0
magicoder7b,dir_make,c,cpp,1.0,0.0
qwen2.5coder2b,file_size,js,go,1.0,0.0
granitecode8b,str_concat,rs,c,1.0,0.0
granitecode8b,int_factors,rs,cpp,1.0,0.0
granitecode3b,file_rename,c,cpp,1.0,0.0
magicoder7b,dir_make,py,cpp,1.0,1.0
yicoder9b,dir_make,go,c,1.0,1.0
qwen2.5coder2b,str_substring,go,cpp,1.0,0.0
granitecode3b,file_exists,cpp,java,1.0,0.0
granitecode8b,str_cmp,java,cpp,1.0,0.0
codegemma7b,file_rename,c,go,1.0,1.0
dolphincoder7b,bit_ops,java,cpp,1.0,0.0
deepseekcoder7b,str_interp,java,go,1.0,1.0
yicoder2b,int_arith,py,java,1.0,1.0
granitecode3b,int_cmp,java,go,1.0,1.0
stablecode,int_factors,c,go,1.0,0.0
codeqwen,str_cmp,java,go,1.0,0.0
dolphincoder7b,dir_make,rs,go,1.0,1.0
codegeex4,bit_ops,js,rs,1.0,0.0
qwen2.5coder2b,str_concat,py,go,1.0,0.0
qwen2.5coder7b,file_rename,py,cpp,1.0,0.0
stablecode,int_factors,java,cpp,1.0,0.0
stablecode,dir_make,c,js,1.0,0.0
qwen2.5coder7b,file_create,c,rs,1.0,0.0
codellama7b,str_match,rs,c,1.0,0.0
granitecode3b,logic_ops,rs,c,1.0,0.0
qwen2.5coder2b,file_create,java,rs,1.0,1.0
dolphincoder7b,bit_ops,c,cpp,1.0,1.0
codeqwen,file_create,cpp,rs,1.0,0.0
granitecode8b,str_append,cpp,c,1.0,0.0
stablecode,file_size,js,java,1.0,0.0
yicoder9b,file_create,go,c,1.0,0.0
qwen2.5coder2b,dir_make,c,cpp,1.0,0.0
codeqwen,dir_make,java,cpp,1.0,0.0
yicoder9b,logic_ops,java,go,1.0,1.0
granitecode8b,int_factors,go,py,1.0,0.0
codeqwen,str_cmp,cpp,java,1.0,0.0
granitecode3b,file_rename,cpp,java,1.0,1.0
dolphincoder7b,str_cmp,cpp,go,1.0,0.0
qwen2.5coder2b,str_substring,c,rs,1.0,0.0
granitecode8b,str_interp,cpp,c,1.0,0.0
qwen2.5coder7b,str_append,java,rs,1.0,1.0
codegemma7b,file_create,java,rs,1.0,1.0
qwen2.5coder2b,str_interp,py,c,1.0,1.0
stablecode,int_arith,rs,c,1.0,0.0
stablecode,int_cmp,rs,py,1.0,0.0
codeqwen,str_match,js,cpp,1.0,0.0
codegemma7b,str_match,py,c,1.0,0.0
codeqwen,file_exists,rs,cpp,1.0,0.0
stablecode,str_concat,java,rs,1.0,0.0
qwen2.5coder2b,logic_ops,rs,c,1.0,1.0
codeqwen,str_cmp,c,cpp,1.0,0.0
codellama7b,str_match,java,py,1.0,1.0
deepseekcoderv2,file_size,py,cpp,1.0,0.0
dolphincoder7b,str_cmp,c,go,1.0,0.0
dolphincoder7b,file_size,java,rs,1.0,0.0
stablecode,str_match,go,cpp,1.0,0.0
stablecode,file_create,js,java,1.0,0.0
qwen2.5coder7b,str_substring,c,go,1.0,0.0
magicoder7b,int_cmp,go,rs,1.0,1.0
deepseekcoderv2,file_size,cpp,c,1.0,1.0
stablecode,file_create,c,java,1.0,0.0
yicoder9b,bit_ops,cpp,rs,1.0,0.0
codeqwen,bit_ops,cpp,go,1.0,0.0
dolphincoder7b,dir_make,js,go,1.0,1.0
qwen2.5coder2b,file_size,rs,go,1.0,0.0
yicoder2b,str_substring,c,rs,1.0,0.0
granitecode8b,str_interp,js,cpp,1.0,0.0
granitecode8b,logic_ops,c,rs,1.0,1.0
deepseekcoder7b,int_factors,go,c,1.0,0.0
dolphincoder7b,dir_make,cpp,c,1.0,0.0
codegemma7b,str_append,py,go,1.0,0.0
codegeex4,str_prepend,cpp,c,1.0,1.0
stablecode,int_factors,cpp,py,1.0,0.0
deepseekcoder7b,str_match,py,rs,1.0,0.0
qwen2.5coder2b,int_factors,js,cpp,1.0,0.0
magicoder7b,dir_make,c,rs,1.0,1.0
granitecode3b,str_cmp,java,rs,1.0,0.0
granitecode8b,str_substring,go,java,1.0,1.0
dolphincoder7b,logic_ops,cpp,c,1.0,0.0
codegemma7b,int_factors,java,c,1.0,0.0
stablecode,bit_ops,rs,java,1.0,1.0
stablecode,file_create,cpp,js,1.0,0.0
magicoder7b,file_rename,js,go,1.0,0.0
deepseekcoder7b,str_cmp,rs,java,1.0,1.0
codellama7b,file_create,rs,c,1.0,0.0
deepseekcoderv2,dir_make,java,cpp,1.0,0.0
codeqwen,str_substring,rs,cpp,1.0,0.0
dolphincoder7b,str_interp,cpp,c,1.0,0.0
qwen2.5coder2b,file_create,py,java,1.0,0.0
granitecode3b,str_match,js,py,1.0,0.0
granitecode8b,str_prepend,go,cpp,1.0,0.0
codeqwen,str_substring,go,java,1.0,0.0
deepseekcoderv2,file_create,java,c,1.0,1.0
stablecode,int_factors,py,cpp,1.0,0.0
codellama7b,str_cmp,py,c,1.0,1.0
yicoder2b,file_exists,java,go,1.0,0.0
granitecode3b,bit_ops,java,rs,1.0,0.0
yicoder2b,logic_ops,c,go,1.0,1.0
granitecode8b,file_size,c,go,1.0,0.0
granitecode8b,file_rename,go,cpp,1.0,0.0
granitecode3b,bit_ops,cpp,go,1.0,0.0
stablecode,str_substring,js,java,1.0,0.0
stablecode,int_cmp,py,js,1.0,0.0
granitecode3b,int_factors,c,java,1.0,0.0
qwen2.5coder2b,str_append,cpp,rs,1.0,1.0
granitecode8b,int_factors,cpp,py,1.0,0.0
codeqwen,dir_make,js,cpp,1.0,0.0
deepseekcoderv2,dir_make,js,rs,1.0,0.0
codellama7b,logic_ops,java,go,1.0,0.0
granitecode3b,str_cmp,c,cpp,1.0,0.0
stablecode,file_size,c,java,1.0,0.0
codeqwen,int_factors,rs,py,1.0,1.0
qwen2.5coder2b,bit_ops,java,cpp,1.0,0.0
deepseekcoder7b,str_substring,go,rs,1.0,0.0
granitecode8b,str_interp,c,cpp,1.0,0.0
codeqwen,file_create,rs,java,1.0,0.0
codellama7b,dir_make,go,cpp,1.0,0.0
granitecode3b,int_factors,rs,c,1.0,0.0
codellama7b,str_append,js,rs,1.0,0.0
codegemma7b,file_size,java,go,1.0,0.0
deepseekcoder7b,file_rename,java,rs,1.0,1.0
qwen2.5coder7b,str_interp,cpp,c,1.0,1.0
stablecode,int_factors,js,go,1.0,0.0
deepseekcoder7b,file_exists,js,go,1.0,0.0
granitecode3b,file_exists,py,rs,1.0,0.0
granitecode3b,dir_make,go,py,1.0,0.0
granitecode8b,logic_ops,rs,go,1.0,0.0
granitecode3b,logic_ops,java,c,1.0,0.0
qwen2.5coder7b,str_substring,c,cpp,1.0,0.0
stablecode,file_exists,py,java,1.0,0.0
codeqwen,str_interp,js,java,1.0,0.0
deepseekcoder7b,int_arith,py,cpp,1.0,1.0
stablecode,int_cmp,rs,java,1.0,0.0
yicoder2b,file_create,rs,go,1.0,0.0
qwen2.5coder7b,file_size,cpp,c,1.0,1.0
granitecode8b,file_exists,rs,cpp,1.0,0.0
qwen2.5coder2b,str_cmp,py,go,1.0,0.0
qwen2.5coder7b,file_rename,c,cpp,1.0,0.0
deepseekcoder7b,file_exists,c,java,1.0,1.0
deepseekcoder7b,bit_ops,js,c,1.0,0.0
codegemma7b,logic_ops,js,rs,1.0,1.0
deepseekcoder7b,str_prepend,java,rs,1.0,0.0
dolphincoder7b,logic_ops,js,go,1.0,1.0
codellama7b,str_substring,c,py,1.0,0.0
codegemma7b,file_exists,js,c,1.0,0.0
granitecode8b,str_prepend,go,rs,1.0,1.0
qwen2.5coder2b,file_create,c,rs,1.0,0.0
codellama7b,bit_ops,py,go,1.0,0.0
magicoder7b,str_match,go,c,1.0,0.0
deepseekcoderv2,str_match,py,go,1.0,0.0
qwen2.5coder7b,str_concat,py,go,1.0,1.0
qwen2.5coder7b,dir_make,js,rs,1.0,1.0
qwen2.5coder2b,str_match,c,go,1.0,1.0
qwen2.5coder7b,file_size,js,cpp,1.0,0.0
codeqwen,int_factors,rs,cpp,1.0,0.0
stablecode,file_rename,rs,c,1.0,0.0
granitecode8b,str_concat,py,go,1.0,1.0
stablecode,logic_ops,js,cpp,1.0,0.0
granitecode8b,str_concat,java,cpp,1.0,0.0
yicoder2b,dir_make,c,go,1.0,0.0
stablecode,bit_ops,py,go,1.0,0.0
codegeex4,dir_make,js,cpp,1.0,0.0
codegeex4,str_substring,js,rs,1.0,0.0
codegemma7b,str_cmp,js,go,1.0,0.0
granitecode3b,str_substring,rs,java,1.0,0.0
stablecode,file_rename,java,go,1.0,0.0
codellama7b,file_exists,rs,c,1.0,0.0
codellama7b,file_exists,js,go,1.0,0.0
deepseekcoder7b,dir_make,js,py,1.0,1.0
codeqwen,file_rename,go,c,1.0,1.0
deepseekcoder7b,file_create,c,rs,1.0,0.0
stablecode,str_interp,cpp,go,1.0,0.0
qwen2.5coder7b,file_create,py,go,1.0,1.0
granitecode8b,int_arith,cpp,c,1.0,0.0
codellama7b,int_arith,cpp,go,1.0,0.0
stablecode,int_arith,rs,java,1.0,0.0
granitecode8b,file_create,c,cpp,1.0,0.0
stablecode,str_prepend,java,go,1.0,0.0
qwen2.5coder2b,file_exists,js,java,1.0,0.0
stablecode,int_cmp,java,js,1.0,0.0
qwen2.5coder2b,file_rename,java,c,1.0,1.0
codellama7b,str_cmp,cpp,go,1.0,0.0
granitecode3b,int_factors,cpp,py,1.0,0.0
yicoder2b,file_size,go,rs,1.0,0.0
codegemma7b,dir_make,py,cpp,1.0,0.0
dolphincoder7b,bit_ops,go,rs,1.0,1.0
dolphincoder7b,str_substring,js,go,1.0,0.0
codellama7b,str_append,py,c,1.0,1.0
granitecode8b,file_create,rs,c,1.0,0.0
yicoder2b,file_create,py,java,1.0,1.0
deepseekcoder7b,logic_ops,py,go,1.0,1.0
magicoder7b,file_size,rs,c,1.0,0.0
codeqwen,file_create,py,c,1.0,1.0
stablecode,str_match,java,js,1.0,0.0
granitecode3b,bit_ops,js,py,1.0,1.0
magicoder7b,str_concat,c,go,1.0,0.0
codeqwen,bit_ops,java,cpp,1.0,0.0
magicoder7b,int_arith,c,go,1.0,1.0
codellama7b,str_concat,py,cpp,1.0,0.0
codegemma7b,file_size,js,go,1.0,0.0
deepseekcoder7b,file_rename,js,c,1.0,0.0
granitecode3b,bit_ops,py,js,1.0,0.0
codegemma7b,file_create,js,go,1.0,0.0
stablecode,bit_ops,go,java,1.0,0.0
codeqwen,str_match,go,java,1.0,1.0
dolphincoder7b,str_interp,java,cpp,1.0,0.0
stablecode,str_interp,java,c,1.0,0.0
granitecode8b,int_arith,java,rs,1.0,0.0
stablecode,bit_ops,js,c,1.0,0.0
yicoder9b,int_factors,java,rs,1.0,1.0
stablecode,str_prepend,c,rs,1.0,0.0
deepseekcoderv2,bit_ops,js,rs,1.0,1.0
granitecode3b,str_interp,js,cpp,1.0,0.0
qwen2.5coder7b,str_match,js,rs,1.0,0.0
yicoder9b,str_substring,c,rs,1.0,0.0
granitecode3b,file_exists,js,cpp,1.0,0.0
stablecode,str_cmp,js,py,1.0,0.0
granitecode8b,str_substring,rs,java,1.0,0.0
codellama7b,file_create,c,java,1.0,0.0
stablecode,bit_ops,cpp,py,1.0,0.0
stablecode,str_cmp,py,js,1.0,0.0
codegeex4,file_rename,rs,cpp,1.0,0.0
granitecode8b,int_cmp,cpp,c,1.0,0.0
granitecode3b,str_substring,java,c,1.0,0.0
qwen2.5coder7b,str_interp,rs,java,1.0,1.0
codegemma7b,dir_make,c,cpp,1.0,0.0
deepseekcoder7b,str_cmp,go,cpp,1.0,0.0
granitecode3b,str_concat,rs,c,1.0,0.0
qwen2.5coder2b,str_prepend,js,rs,1.0,0.0
codegemma7b,bit_ops,go,c,1.0,0.0
dolphincoder7b,int_factors,py,js,1.0,1.0
yicoder9b,int_factors,c,go,1.0,1.0
codegemma7b,str_prepend,rs,go,1.0,0.0
qwen2.5coder7b,file_exists,js,java,1.0,0.0
granitecode3b,str_cmp,py,c,1.0,0.0
magicoder7b,int_factors,c,rs,1.0,0.0
magicoder7b,str_prepend,py,c,1.0,1.0
dolphincoder7b,str_interp,py,rs,1.0,1.0
stablecode,int_arith,go,java,1.0,0.0
granitecode3b,file_create,c,cpp,1.0,0.0
granitecode3b,int_arith,go,cpp,1.0,0.0
deepseekcoder7b,int_factors,py,java,1.0,1.0
codegemma7b,str_match,js,go,1.0,1.0
deepseekcoderv2,file_exists,py,cpp,1.0,0.0
dolphincoder7b,str_match,js,rs,1.0,0.0
codegeex4,dir_make,rs,go,1.0,1.0
qwen2.5coder2b,str_append,js,rs,1.0,1.0
codegemma7b,bit_ops,py,cpp,1.0,0.0
yicoder2b,str_interp,rs,cpp,1.0,1.0
qwen2.5coder2b,dir_make,go,cpp,1.0,0.0
qwen2.5coder7b,str_substring,py,c,1.0,0.0
granitecode3b,file_size,js,c,1.0,0.0
granitecode8b,str_match,java,go,1.0,1.0
stablecode,file_create,java,c,1.0,0.0
stablecode,bit_ops,cpp,c,1.0,0.0
dolphincoder7b,logic_ops,go,cpp,1.0,1.0
stablecode,logic_ops,java,cpp,1.0,0.0
deepseekcoder7b,int_cmp,cpp,go,1.0,1.0
dolphincoder7b,file_create,js,rs,1.0,1.0
stablecode,str_concat,py,c,1.0,0.0
codegemma7b,str_concat,py,cpp,1.0,0.0
granitecode8b,file_exists,rs,c,1.0,0.0
deepseekcoder7b,dir_make,go,cpp,1.0,0.0
codellama7b,int_factors,py,go,1.0,1.0
yicoder2b,str_match,cpp,go,1.0,0.0
granitecode3b,str_interp,cpp,rs,1.0,1.0
qwen2.5coder7b,str_match,java,rs,1.0,1.0
magicoder7b,dir_make,js,rs,1.0,1.0
yicoder9b,int_arith,go,rs,1.0,0.0
codellama7b,file_rename,java,rs,1.0,0.0
codellama7b,logic_ops,rs,go,1.0,0.0
codeqwen,int_cmp,java,cpp,1.0,1.0
stablecode,file_exists,py,go,1.0,0.0
stablecode,int_cmp,go,java,1.0,0.0
deepseekcoder7b,int_arith,cpp,go,1.0,0.0
stablecode,file_size,py,cpp,1.0,0.0
codellama7b,str_substring,go,rs,1.0,0.0
codellama7b,file_create,c,rs,1.0,0.0
qwen2.5coder2b,str_prepend,py,c,1.0,1.0
codellama7b,str_prepend,java,rs,1.0,1.0
granitecode3b,dir_make,py,c,1.0,0.0
codegemma7b,str_cmp,py,cpp,1.0,0.0
codegemma7b,file_exists,py,java,1.0,0.0
yicoder9b,file_exists,c,go,1.0,1.0
codeqwen,int_factors,js,c,1.0,1.0
stablecode,logic_ops,go,rs,1.0,0.0
stablecode,int_cmp,go,cpp,1.0,0.0
qwen2.5coder7b,file_size,js,rs,1.0,1.0
qwen2.5coder7b,str_concat,java,rs,1.0,0.0
granitecode8b,int_cmp,py,cpp,1.0,0.0
codegeex4,str_cmp,cpp,go,1.0,1.0
yicoder2b,dir_make,java,rs,1.0,0.0
deepseekcoderv2,file_create,go,cpp,1.0,0.0
deepseekcoder7b,str_cmp,js,rs,1.0,1.0
