model,task,from_lang,to_lang,run
codegemma7b,logic_ops,go,rs,1.0
qwen2.5coder2b,logic_ops,java,cpp,1.0
stablecode,logic_ops,py,rs,1.0
codeqwen,logic_ops,go,rs,1.0
stablecode,logic_ops,cpp,py,1.0
granitecode3b,logic_ops,java,rs,1.0
codeqwen,logic_ops,go,c,1.0
codeqwen,logic_ops,cpp,c,1.0
magicoder7b,logic_ops,java,go,1.0
codegeex4,logic_ops,c,go,1.0
yicoder9b,logic_ops,py,cpp,1.0
magicoder7b,logic_ops,js,go,1.0
qwen2.5coder2b,logic_ops,py,c,1.0
codeqwen,logic_ops,java,rs,1.0
dolphincoder7b,logic_ops,rs,c,1.0
qwen2.5coder2b,logic_ops,go,c,1.0
codegemma7b,logic_ops,rs,go,1.0
magicoder7b,logic_ops,go,rs,1.0
yicoder9b,logic_ops,js,go,1.0
deepseekcoderv2,logic_ops,c,cpp,1.0
deepseekcoder7b,logic_ops,py,rs,1.0
yicoder9b,logic_ops,c,cpp,1.0
codegemma7b,logic_ops,java,rs,1.0
granitecode8b,logic_ops,py,rs,1.0
deepseekcoder7b,logic_ops,py,cpp,1.0
yicoder9b,logic_ops,c,go,1.0
qwen2.5coder2b,logic_ops,go,rs,1.0
magicoder7b,logic_ops,java,cpp,1.0
deepseekcoder7b,logic_ops,c,cpp,1.0
granitecode8b,logic_ops,js,rs,1.0
yicoder9b,logic_ops,py,go,1.0
yicoder9b,logic_ops,go,cpp,1.0
codegeex4,logic_ops,c,rs,1.0
deepseekcoder7b,logic_ops,go,rs,1.0
codegeex4,logic_ops,cpp,c,1.0
dolphincoder7b,logic_ops,java,cpp,1.0
yicoder9b,logic_ops,js,cpp,1.0
yicoder9b,logic_ops,java,cpp,1.0
magicoder7b,logic_ops,c,rs,1.0
qwen2.5coder2b,logic_ops,java,c,1.0
yicoder9b,logic_ops,go,rs,1.0
granitecode3b,logic_ops,js,cpp,1.0
codegeex4,logic_ops,js,cpp,1.0
deepseekcoderv2,logic_ops,cpp,c,1.0
granitecode8b,logic_ops,c,rs,1.0
codegeex4,logic_ops,go,rs,1.0
deepseekcoder7b,logic_ops,java,cpp,1.0
magicoder7b,str_append,js,c,1.0
qwen2.5coder7b,str_append,js,rs,1.0
qwen2.5coder2b,str_append,go,rs,1.0
dolphincoder7b,str_append,js,rs,1.0
qwen2.5coder7b,str_append,cpp,rs,1.0
granitecode3b,str_append,py,rs,1.0
qwen2.5coder2b,str_append,java,rs,1.0
codellama7b,str_append,py,c,1.0
magicoder7b,str_append,cpp,c,1.0
codellama7b,str_append,rs,cpp,1.0
codegeex4,str_append,js,c,1.0
stablecode,str_append,c,go,1.0
qwen2.5coder2b,str_append,java,js,1.0
stablecode,str_append,js,go,1.0
yicoder2b,str_append,java,c,1.0
granitecode8b,str_append,js,go,1.0
qwen2.5coder7b,str_append,java,rs,1.0
magicoder7b,str_append,rs,c,1.0
codellama7b,str_append,rs,js,1.0
qwen2.5coder7b,str_append,go,rs,1.0
granitecode3b,str_append,java,c,1.0
codegeex4,str_append,c,go,1.0
qwen2.5coder7b,str_append,c,go,1.0
qwen2.5coder7b,str_append,c,py,1.0
qwen2.5coder2b,str_append,js,rs,1.0
qwen2.5coder7b,str_append,c,rs,1.0
qwen2.5coder2b,str_append,c,rs,1.0
stablecode,str_append,rs,cpp,1.0
yicoder2b,str_append,java,rs,1.0
codegemma7b,str_append,js,go,1.0
dolphincoder7b,str_append,js,c,1.0
codegemma7b,str_append,py,rs,1.0
qwen2.5coder7b,str_append,rs,go,1.0
stablecode,str_append,rs,c,1.0
yicoder2b,str_append,js,c,1.0
qwen2.5coder7b,str_append,py,rs,1.0
stablecode,str_append,js,c,1.0
granitecode8b,str_append,js,rs,1.0
magicoder7b,str_append,py,c,1.0
deepseekcoder7b,str_append,go,java,1.0
granitecode3b,str_append,js,c,1.0
dolphincoder7b,str_append,c,cpp,1.0
deepseekcoder7b,str_append,c,go,1.0
qwen2.5coder2b,str_append,py,c,1.0
codellama7b,str_append,rs,go,1.0
codellama7b,str_append,rs,c,1.0
qwen2.5coder2b,str_append,py,rs,1.0
deepseekcoder7b,str_append,rs,c,1.0
qwen2.5coder2b,str_append,cpp,rs,1.0
granitecode3b,str_append,cpp,c,1.0
dolphincoder7b,str_append,c,go,1.0
qwen2.5coder2b,str_cmp,js,cpp,1.0
yicoder2b,str_cmp,py,js,1.0
qwen2.5coder2b,str_cmp,go,rs,0.0
codellama7b,str_cmp,rs,go,1.0
qwen2.5coder7b,str_cmp,c,go,1.0
magicoder7b,str_cmp,c,cpp,1.0
deepseekcoder7b,str_cmp,java,cpp,1.0
granitecode8b,str_cmp,c,go,1.0
qwen2.5coder2b,str_cmp,cpp,go,1.0
granitecode8b,str_cmp,rs,cpp,1.0
qwen2.5coder7b,str_cmp,py,go,1.0
codegemma7b,str_cmp,c,rs,1.0
codeqwen,str_cmp,rs,go,1.0
qwen2.5coder7b,str_cmp,js,cpp,1.0
codegemma7b,str_cmp,rs,c,1.0
granitecode3b,str_cmp,rs,go,1.0
deepseekcoderv2,str_cmp,rs,go,1.0
stablecode,str_cmp,c,cpp,1.0
qwen2.5coder7b,str_cmp,java,cpp,1.0
stablecode,str_cmp,go,js,1.0
yicoder9b,str_cmp,rs,js,0.0
granitecode8b,str_cmp,java,rs,1.0
magicoder7b,str_cmp,java,go,1.0
codegeex4,str_cmp,java,cpp,1.0
granitecode3b,str_cmp,go,js,1.0
deepseekcoder7b,str_cmp,c,js,1.0
granitecode8b,str_cmp,cpp,go,1.0
yicoder2b,str_cmp,js,java,1.0
granitecode3b,str_cmp,rs,c,1.0
qwen2.5coder2b,str_cmp,rs,c,1.0
codegeex4,str_cmp,cpp,c,1.0
deepseekcoder7b,str_cmp,rs,java,1.0
qwen2.5coder7b,str_cmp,js,java,1.0
magicoder7b,str_cmp,js,c,1.0
qwen2.5coder2b,str_cmp,js,rs,1.0
codellama7b,str_cmp,js,cpp,1.0
codellama7b,str_cmp,js,c,1.0
qwen2.5coder7b,str_cmp,cpp,go,1.0
codegeex4,str_cmp,cpp,go,1.0
granitecode3b,str_cmp,js,rs,1.0
codegeex4,str_cmp,py,java,1.0
magicoder7b,str_cmp,rs,java,1.0
dolphincoder7b,str_cmp,js,rs,1.0
qwen2.5coder7b,str_cmp,py,c,1.0
codeqwen,str_cmp,java,cpp,1.0
granitecode3b,str_cmp,rs,cpp,1.0
codegemma7b,str_cmp,js,c,1.0
deepseekcoder7b,str_cmp,go,js,1.0
qwen2.5coder7b,str_cmp,js,go,1.0
magicoder7b,str_cmp,js,cpp,1.0
codellama7b,str_cmp,c,go,1.0
codellama7b,str_cmp,c,js,0.0
codegemma7b,str_cmp,java,rs,1.0
codegeex4,str_cmp,cpp,rs,0.0
qwen2.5coder7b,str_cmp,js,c,1.0
codeqwen,str_cmp,js,rs,0.0
granitecode3b,str_cmp,js,cpp,1.0
deepseekcoder7b,str_cmp,js,rs,0.0
deepseekcoderv2,str_cmp,c,go,1.0
deepseekcoder7b,str_cmp,rs,cpp,1.0
deepseekcoder7b,str_cmp,py,c,1.0
codeqwen,str_cmp,py,c,1.0
qwen2.5coder7b,str_cmp,go,rs,1.0
granitecode8b,str_cmp,go,java,1.0
qwen2.5coder7b,str_cmp,cpp,rs,0.0
codegeex4,str_cmp,py,go,1.0
deepseekcoder7b,str_cmp,c,py,1.0
codellama7b,str_cmp,py,c,1.0
codegeex4,str_cmp,java,rs,1.0
codellama7b,str_cmp,rs,c,1.0
codellama7b,str_cmp,java,c,1.0
yicoder2b,str_cmp,py,c,1.0
qwen2.5coder2b,str_cmp,rs,go,1.0
codellama7b,str_cmp,cpp,java,0.0
yicoder9b,str_cmp,java,c,1.0
codellama7b,str_concat,rs,java,1.0
yicoder9b,str_concat,py,rs,1.0
qwen2.5coder2b,str_concat,c,rs,1.0
granitecode8b,str_concat,py,go,1.0
codegeex4,str_concat,py,cpp,1.0
codegemma7b,str_concat,js,go,1.0
qwen2.5coder7b,str_concat,cpp,rs,1.0
deepseekcoder7b,str_concat,go,c,1.0
codellama7b,str_concat,go,c,1.0
deepseekcoder7b,str_concat,py,cpp,1.0
codellama7b,str_concat,java,c,1.0
codegemma7b,str_concat,py,js,0.0
qwen2.5coder2b,str_concat,py,c,1.0
codegemma7b,str_concat,rs,c,1.0
yicoder2b,str_concat,c,go,1.0
dolphincoder7b,str_concat,rs,java,1.0
deepseekcoder7b,str_concat,py,c,1.0
magicoder7b,str_concat,rs,c,1.0
deepseekcoder7b,str_concat,rs,go,1.0
codeqwen,str_concat,js,c,1.0
codegeex4,str_concat,java,c,1.0
deepseekcoderv2,str_concat,rs,c,1.0
codellama7b,str_concat,cpp,go,1.0
codellama7b,str_concat,rs,cpp,1.0
deepseekcoderv2,str_concat,js,c,1.0
qwen2.5coder2b,str_concat,cpp,rs,1.0
qwen2.5coder2b,str_concat,java,rs,1.0
stablecode,str_concat,js,c,1.0
deepseekcoder7b,str_concat,java,c,1.0
granitecode3b,str_concat,rs,cpp,1.0
codellama7b,str_concat,java,rs,1.0
qwen2.5coder7b,str_concat,go,rs,1.0
deepseekcoderv2,str_concat,c,go,1.0
granitecode3b,str_concat,c,cpp,1.0
qwen2.5coder7b,str_concat,py,go,1.0
codegemma7b,str_concat,java,c,1.0
magicoder7b,str_concat,java,c,1.0
codellama7b,str_concat,java,js,1.0
qwen2.5coder2b,str_concat,go,c,1.0
codellama7b,str_concat,cpp,c,1.0
deepseekcoder7b,str_concat,c,cpp,1.0
dolphincoder7b,str_concat,py,c,1.0
qwen2.5coder2b,str_concat,js,c,1.0
qwen2.5coder7b,str_concat,c,rs,1.0
codegeex4,str_concat,py,rs,1.0
magicoder7b,str_concat,js,c,1.0
qwen2.5coder7b,str_concat,js,rs,1.0
codellama7b,str_concat,rs,c,1.0
codellama7b,str_concat,js,py,1.0
magicoder7b,str_concat,go,c,1.0
codeqwen,str_concat,py,cpp,1.0
codegemma7b,str_concat,py,go,1.0
qwen2.5coder2b,str_interp,js,rs,1.0
qwen2.5coder7b,str_interp,cpp,c,1.0
deepseekcoder7b,str_interp,rs,go,1.0
qwen2.5coder2b,str_interp,js,go,1.0
deepseekcoderv2,str_interp,go,rs,1.0
qwen2.5coder2b,str_interp,c,rs,1.0
deepseekcoderv2,str_interp,rs,c,1.0
qwen2.5coder2b,str_interp,java,rs,1.0
granitecode8b,str_interp,go,rs,1.0
deepseekcoder7b,str_interp,py,cpp,1.0
dolphincoder7b,str_interp,go,cpp,1.0
deepseekcoder7b,str_interp,js,cpp,1.0
magicoder7b,str_interp,cpp,c,1.0
qwen2.5coder7b,str_interp,java,rs,1.0
granitecode3b,str_interp,go,py,1.0
dolphincoder7b,str_interp,cpp,rs,1.0
qwen2.5coder2b,str_interp,go,rs,1.0
dolphincoder7b,str_interp,js,go,1.0
deepseekcoder7b,str_interp,java,go,1.0
codeqwen,str_interp,go,rs,1.0
qwen2.5coder2b,str_interp,rs,java,1.0
qwen2.5coder7b,str_interp,js,rs,1.0
qwen2.5coder2b,str_interp,cpp,c,1.0
qwen2.5coder2b,str_interp,py,c,1.0
qwen2.5coder7b,str_interp,c,rs,1.0
codellama7b,str_interp,go,py,1.0
yicoder2b,str_interp,js,java,1.0
dolphincoder7b,str_interp,py,rs,1.0
dolphincoder7b,str_interp,java,rs,1.0
qwen2.5coder2b,str_interp,js,cpp,1.0
qwen2.5coder2b,str_interp,java,c,1.0
qwen2.5coder7b,str_interp,py,cpp,1.0
qwen2.5coder7b,str_interp,py,rs,1.0
qwen2.5coder7b,str_interp,rs,java,1.0
deepseekcoder7b,str_interp,py,go,1.0
codegemma7b,str_interp,js,go,1.0
stablecode,str_interp,go,c,1.0
qwen2.5coder7b,str_interp,java,go,1.0
granitecode3b,str_interp,cpp,rs,1.0
qwen2.5coder2b,str_interp,cpp,go,1.0
yicoder2b,str_interp,rs,cpp,1.0
deepseekcoder7b,str_interp,js,go,1.0
codegeex4,str_interp,java,c,1.0
qwen2.5coder7b,str_interp,cpp,rs,1.0
qwen2.5coder7b,str_interp,cpp,go,1.0
qwen2.5coder2b,str_interp,py,rs,1.0
deepseekcoder7b,str_interp,go,java,1.0
dolphincoder7b,str_interp,py,java,1.0
qwen2.5coder7b,str_match,py,go,1.0
codellama7b,str_match,java,py,0.0
codegeex4,str_match,rs,go,1.0
qwen2.5coder2b,str_match,py,java,1.0
granitecode3b,str_match,c,py,1.0
codellama7b,str_match,py,c,1.0
qwen2.5coder7b,str_match,java,rs,1.0
stablecode,str_match,c,js,1.0
codegemma7b,str_match,c,rs,1.0
granitecode8b,str_match,cpp,c,1.0
stablecode,str_match,rs,js,0.0
deepseekcoder7b,str_match,cpp,rs,0.0
qwen2.5coder7b,str_match,py,rs,1.0
qwen2.5coder7b,str_match,go,rs,1.0
codegeex4,str_match,js,cpp,1.0
yicoder9b,str_match,java,go,1.0
codegemma7b,str_match,js,c,1.0
deepseekcoder7b,str_match,js,c,1.0
qwen2.5coder2b,str_match,java,rs,1.0
qwen2.5coder7b,str_match,rs,go,0.0
dolphincoder7b,str_match,rs,go,1.0
codeqwen,str_match,py,java,1.0
codegeex4,str_match,go,rs,1.0
codegeex4,str_match,py,go,1.0
qwen2.5coder7b,str_match,c,rs,1.0
deepseekcoder7b,str_match,go,c,1.0
deepseekcoder7b,str_match,py,c,1.0
qwen2.5coder7b,str_match,js,java,1.0
dolphincoder7b,str_match,cpp,java,0.0
dolphincoder7b,str_match,cpp,go,1.0
granitecode8b,str_match,go,rs,1.0
deepseekcoder7b,str_match,go,cpp,1.0
codegemma7b,str_match,js,go,1.0
qwen2.5coder7b,str_match,cpp,c,1.0
codeqwen,str_match,go,java,1.0
codellama7b,str_match,js,rs,1.0
qwen2.5coder2b,str_match,java,js,1.0
codegemma7b,str_match,rs,c,1.0
granitecode8b,str_match,cpp,go,1.0
qwen2.5coder2b,str_match,py,go,1.0
qwen2.5coder2b,str_match,cpp,rs,1.0
granitecode3b,str_match,go,c,1.0
qwen2.5coder7b,str_match,py,cpp,1.0
granitecode8b,str_match,java,go,1.0
codellama7b,str_match,py,cpp,1.0
dolphincoder7b,str_match,c,go,1.0
codeqwen,str_match,c,java,1.0
codeqwen,str_match,cpp,go,0.0
qwen2.5coder2b,str_match,js,java,0.0
deepseekcoder7b,str_match,java,cpp,1.0
qwen2.5coder2b,str_match,c,go,1.0
qwen2.5coder7b,str_match,cpp,rs,1.0
codegemma7b,str_match,java,c,1.0
deepseekcoder7b,str_prepend,cpp,c,1.0
yicoder2b,str_prepend,c,go,1.0
magicoder7b,str_prepend,c,go,1.0
qwen2.5coder7b,str_prepend,py,rs,1.0
qwen2.5coder2b,str_prepend,go,java,1.0
dolphincoder7b,str_prepend,go,rs,1.0
codeqwen,str_prepend,java,rs,1.0
yicoder9b,str_prepend,js,c,1.0
qwen2.5coder7b,str_prepend,py,c,1.0
qwen2.5coder7b,str_prepend,js,rs,1.0
magicoder7b,str_prepend,rs,c,1.0
codellama7b,str_prepend,rs,c,1.0
codeqwen,str_prepend,py,c,1.0
codeqwen,str_prepend,cpp,java,1.0
codellama7b,str_prepend,py,rs,1.0
magicoder7b,str_prepend,js,rs,1.0
codellama7b,str_prepend,go,cpp,1.0
qwen2.5coder2b,str_prepend,py,c,1.0
magicoder7b,str_prepend,java,rs,1.0
codellama7b,str_prepend,java,rs,1.0
qwen2.5coder7b,str_prepend,cpp,rs,1.0
qwen2.5coder7b,str_prepend,go,rs,1.0
qwen2.5coder2b,str_prepend,go,c,1.0
qwen2.5coder2b,str_prepend,java,rs,1.0
yicoder9b,str_prepend,c,cpp,1.0
codellama7b,str_prepend,rs,cpp,1.0
yicoder2b,str_prepend,js,c,1.0
codellama7b,str_prepend,cpp,c,1.0
dolphincoder7b,str_prepend,java,cpp,1.0
qwen2.5coder2b,str_prepend,py,rs,1.0
qwen2.5coder2b,str_prepend,cpp,rs,1.0
codegemma7b,str_prepend,js,go,1.0
qwen2.5coder2b,str_prepend,c,rs,1.0
magicoder7b,str_prepend,py,c,1.0
yicoder2b,str_prepend,cpp,rs,1.0
codegeex4,str_prepend,rs,c,1.0
codeqwen,str_prepend,java,c,1.0
granitecode8b,str_prepend,java,rs,1.0
codegeex4,str_prepend,cpp,c,1.0
yicoder9b,str_prepend,cpp,go,1.0
codegemma7b,str_prepend,cpp,c,1.0
yicoder9b,str_prepend,c,go,1.0
deepseekcoder7b,str_prepend,cpp,java,1.0
granitecode8b,str_prepend,c,go,1.0
qwen2.5coder7b,str_prepend,c,rs,1.0
granitecode8b,str_prepend,go,rs,1.0
qwen2.5coder2b,str_prepend,go,rs,1.0
codellama7b,str_prepend,py,go,1.0
codegeex4,str_prepend,js,c,1.0
yicoder9b,str_prepend,rs,c,1.0
codellama7b,str_prepend,js,rs,1.0
codegeex4,str_prepend,py,c,1.0
granitecode3b,str_prepend,py,rs,1.0
qwen2.5coder7b,str_prepend,java,rs,1.0
codegemma7b,str_prepend,py,go,1.0
yicoder9b,str_prepend,java,rs,1.0
magicoder7b,str_prepend,py,go,1.0
codellama7b,str_prepend,cpp,java,1.0
yicoder9b,str_prepend,py,c,1.0
magicoder7b,str_prepend,go,c,1.0
granitecode3b,str_prepend,js,rs,1.0
codellama7b,str_substring,js,cpp,1.0
codeqwen,str_substring,py,rs,1.0
dolphincoder7b,str_substring,go,rs,1.0
yicoder2b,str_substring,js,java,1.0
yicoder9b,str_substring,rs,cpp,1.0
codegeex4,str_substring,java,c,1.0
granitecode3b,str_substring,java,rs,1.0
deepseekcoder7b,str_substring,go,c,1.0
codellama7b,str_substring,js,go,1.0
codeqwen,str_substring,go,rs,1.0
codeqwen,str_substring,rs,c,0.0
codellama7b,str_substring,py,cpp,0.0
codellama7b,str_substring,js,java,1.0
yicoder9b,str_substring,java,go,1.0
granitecode8b,str_substring,py,rs,1.0
magicoder7b,str_substring,cpp,rs,1.0
dolphincoder7b,str_substring,js,rs,1.0
qwen2.5coder7b,str_substring,py,rs,1.0
granitecode3b,str_substring,py,rs,1.0
granitecode8b,str_substring,cpp,go,1.0
codegemma7b,str_substring,js,py,0.0
dolphincoder7b,str_substring,py,c,1.0
codegemma7b,str_substring,java,cpp,1.0
magicoder7b,str_substring,go,rs,1.0
codeqwen,str_substring,c,py,0.0
qwen2.5coder7b,str_substring,js,rs,1.0
magicoder7b,str_substring,c,js,1.0
deepseekcoder7b,str_substring,py,c,1.0
magicoder7b,str_substring,py,cpp,1.0
qwen2.5coder7b,str_substring,java,rs,1.0
granitecode8b,str_substring,go,java,1.0
granitecode3b,str_substring,go,js,1.0
granitecode8b,str_substring,c,js,1.0
codegeex4,str_substring,go,java,1.0
dolphincoder7b,str_substring,py,rs,1.0
yicoder9b,str_substring,cpp,go,1.0
deepseekcoder7b,str_substring,js,cpp,1.0
magicoder7b,str_substring,rs,go,1.0
deepseekcoderv2,str_substring,java,rs,0.0
deepseekcoder7b,str_substring,go,py,1.0
granitecode3b,str_substring,cpp,rs,0.0
granitecode3b,str_substring,java,cpp,1.0
dolphincoder7b,str_substring,js,cpp,1.0
codegeex4,str_substring,cpp,go,1.0
codegeex4,str_substring,java,cpp,1.0
magicoder7b,str_substring,js,go,1.0
codellama7b,str_substring,c,js,1.0
deepseekcoder7b,str_substring,go,java,1.0
yicoder9b,str_substring,cpp,rs,1.0
codegemma7b,str_substring,cpp,py,1.0
magicoder7b,str_substring,java,go,1.0
deepseekcoderv2,str_substring,rs,go,1.0
codegeex4,str_substring,rs,go,1.0
magicoder7b,str_substring,java,c,1.0
codegemma7b,str_substring,c,js,1.0
codegemma7b,str_substring,py,js,0.0
granitecode3b,str_substring,rs,cpp,1.0
granitecode8b,str_substring,c,cpp,1.0
yicoder2b,str_substring,js,rs,1.0
yicoder2b,str_substring,py,cpp,1.0
yicoder9b,str_substring,rs,go,0.0
codegemma7b,str_substring,js,cpp,1.0
deepseekcoderv2,str_substring,js,go,1.0
deepseekcoder7b,str_substring,rs,js,1.0
deepseekcoder7b,str_substring,rs,java,1.0
codeqwen,str_substring,py,c,1.0
qwen2.5coder2b,str_substring,c,java,1.0
qwen2.5coder7b,str_substring,cpp,go,1.0
qwen2.5coder7b,str_substring,java,cpp,1.0
codegeex4,str_substring,java,go,0.0
granitecode8b,str_substring,py,go,1.0
qwen2.5coder7b,str_substring,go,rs,1.0
